iata,city,state,latitude,longitude
48D,Clare,MI,43.83111111,-84.74133333
48I,Sutton,WV,38.68704444,-80.65176083
48K,Ness City,KS,38.47110278,-99.90806667
48S,Harlem,MT,48.56666472,-108.7729339
48V,Erie,CO,40.010225,-105.047975
49A,Ellijay,GA,34.62786417,-84.52492889
49T,Dallas,TX,32.77333333,-96.80027778
49X,Chemehuevi Valley,CA,34.52751083,-114.4310697
49Y,Preston,MN,43.67676,-92.17973444
4A2,Atmautluak,AK,60.86674556,-162.2731389
4A4,Cedartown,GA,34.01869444,-85.14647222
4A5,Marshall,AR,35.89893667,-92.65588611
4A6,Scottsboro,AL,34.68897278,-86.0058125
4A7,Hampton,GA,33.38911111,-84.33236111
4A9,Fort Payne,AL,34.4728925,-85.72221722
4B0,South Bethlehem,NY,42.56072611,-73.83395639
4B1,Duanesburg,NY,42.75840889,-74.13290472
4B6,Ticonderoga,NY,43.87700278,-73.41317639
4B7,Schroon Lake,NY,43.86256083,-73.74262972
4B8,Plainville,CT,41.69037667,-72.8648225
4B9,Simsbury,CT,41.91676389,-72.77731778
4C8,Albia,IA,40.99445361,-92.76297194
4D0,Grandledge,MI,42.77420167,-84.73309806
4D9,Alma,NE,40.11389972,-99.34565306
4F2,Carthage,TX,32.17608333,-94.29880556
4F4,Gilmer,TX,32.699,-94.94886111
4G1,Greenville,PA,41.44683167,-80.39126167
4G2,Hamburg,NY,42.7008925,-78.91475694
4G5,Woodsfield,OH,39.77904472,-81.10277222
4G6,Hornell,NY,42.38214444,-77.6821125
4G7,Fairmont,WV,39.44816667,-80.16702778
4I0,Williamson,WV,37.68760139,-82.26097306
4I3,Mount Vernon,OH,40.32872222,-82.52377778
4I7,Greencastle,IN,39.63359556,-86.8138325
4I9,Mt. Gilead,OH,40.52452778,-82.85005556
4J1,Nahunta,GA,31.21272417,-81.90539083
4J2,Nashville,GA,31.21255556,-83.22627778
4J5,Quitman,GA,30.80575139,-83.58654889
4J6,St Marys,GA,30.75468028,-81.55731917
4K0,Pedro Bay,AK,59.78960972,-154.1238331
4K5,Ouzinkie,AK,57.92287611,-152.5005111
4K6,Bloomfield,IA,40.73210556,-92.42826889
4KA,Tununak,AK,60.57559667,-165.2731272
4M1,Berryville,AR,36.38340333,-93.61685667
4M3,Carlisle,AR,34.80823,-91.71205083
4M4,Clinton,AR,35.59785528,-92.45182472
4M7,Russellville,KY,36.79991667,-86.81016667
4M8,Clarendon,AR,34.64870694,-91.39457111
4M9,Corning,AR,36.40423139,-90.64792639
4N1,West Milford,NJ,41.12854806,-74.34584611
4O3,Blackwell-Tonkawa,OK,36.74511583,-97.34959972
4O4,Idabel,OK,33.909325,-94.85835278
4O5,Cherokee,OK,36.78336306,-98.35035083
4PH,Polacca,AZ,35.79167222,-110.4234653
4R1,Lumberton,MS,31.01546028,-89.48256556
4R3,Jackson,AL,31.47210861,-87.89472083
4R4,Fairhope,AL,30.4621125,-87.87801972
4R5,La Pointe,WI,46.78865556,-90.75866944
4R7,Eunice,LA,30.46628389,-92.42379917
4R9,Dauphin Island,AL,30.26048083,-88.12749972
4S1,Gold Beach,OR,42.41344444,-124.4242742
4S2,Hood River,OR,45.67261833,-121.5364625
4S3,Joseph,OR,45.35709583,-117.2532244
4S9,Mulino (Portland),OR,45.21632417,-122.5900839
4SD,Reno,NV,39.66738111,-119.8754169
4T6,Midlothian-Waxahachie,TX,32.45609722,-96.91240972
4U3,Chester,MT,48.51072222,-110.9908639
4U6,Circle,MT,47.41861972,-105.5619431
4V0,Rangely,CO,40.09469917,-108.7612172
4V1,Walsenburg,CO,37.69640056,-104.7838747
4V9,Neligh,NE,42.11222889,-98.0386775
4W1,Elizabethtown,NC,34.60183722,-78.57973306
4Z4,Holy Cross,AK,62.18829583,-159.7749503
4Z7,Hyder,AK,55.90331972,-130.0067031
50I,Kentland,IN,40.75873222,-87.42821917
50J,Moncks Corner,SC,33.18605556,-80.03563889
50K,Pawnee City,NE,40.11611111,-96.19445278
50R,Lockhart,TX,29.85033333,-97.67241667
51D,Edgeley,ND,46.34858333,-98.73555556
51Z,Minto,AK,65.14370889,-149.3699647
52A,Madison,GA,33.61212528,-83.46044333
52,Timberon,NM,32.63388889,-105.6863889
52J,Bishopville,SC,34.24459889,-80.23729333
53A,Montezuma,GA,32.302,-84.00747222
53K,Osage City,KS,38.63334222,-95.80859806
54J,Defuniak Springs,FL,30.7313,-86.15160833
55D,Grayling,MI,44.68032028,-84.72886278
55J,Fernandina Beach,FL,30.61170083,-81.462345
55S,Packwood,WA,46.60400083,-121.6778664
56D,Upper Sandusky,OH,40.88336139,-83.3145325
56M,Warsaw,MO,38.34688889,-93.345425
56S,Seaside,OR,46.01649694,-123.9054167
57B,Islesboro,ME,44.30285556,-68.91058722
57C,East Troy,WI,42.79711111,-88.3725
59B,Jackman,ME,45.63199111,-70.24728944
5A4,Okolona,MS,34.01580528,-88.72618944
5A6,Winona,MS,33.46540139,-89.72924806
5A8,Aleknagik,AK,59.28256167,-158.6176725
5A9,Warm Springs,GA,32.93346222,-84.68881639
5B2,Saratoga Springs,NY,43.05126111,-73.86119444
5B3,Danielson,CT,41.81974056,-71.90096306
5B7,Troy,NY,42.69091194,-73.57956
5CD,Chandalar Camp,AK,68.06543944,-149.5797392
5D3,Owosso,MI,42.99297222,-84.1389125
5F1,Post,TX,33.20370556,-101.340415
5F4,Homer,LA,32.78850806,-93.00366083
5G0,Le Roy,NY,42.98136667,-77.93751389
5G7,Bluffton,OH,40.88544444,-83.86863889
5G8,Jeanette,PA,40.37645722,-79.60837583
5G9,Lambertville,MI,41.7358775,-83.65541056
5HO,Hope,AK,60.90415028,-149.6238389
5I4,Sheridan,IN,40.17792583,-86.21729889
5J0,John Day,OR,44.40416667,-118.9625
5J9,Loris,SC,34.08848361,-78.86462028
5K2,Tribune,KS,38.45418222,-101.7462828
5M0,Hartselle,AL,34.40823444,-86.93295056
5M1,De Witt,AR,34.2626,-91.30984194
5M4,Fordyce,AR,33.84593722,-92.36542861
5M9,Marion,KY,37.33616222,-88.11113611
5N8,Casselton,ND,46.85469528,-97.20870028
5ND6,Hillsboro,ND,47.35940778,-97.06041639
5NI,Nikolai,AK,63.0174475,-154.3639608
5NK,Naknek,AK,58.73288056,-157.0199197
5NN,Nondalton,AK,59.97904306,-154.8396944
5R3,Lago Vista,TX,30.498585,-97.96947222
5R4,Foley,AL,30.42769722,-87.70082
5R5,Wharton,TX,29.25427778,-96.15438889
5R8,De Quincy,LA,30.44117222,-93.47349722
5S8,St. Michael,AK,63.49005056,-162.1103692
5T5,Hillsboro,TX,32.08348611,-97.09722722
5T6,Santa Teresa,NM,31.88098556,-106.7048131
5T9,Eagle Pass,TX,28.85719361,-100.5122997
5TE,Tetlin,AK,63.13382361,-142.5219339
5U3,Ennis,MT,45.27175833,-111.6486389
5U8,Geraldine,MT,47.59664,-110.2660367
5V5,Shiprock,NM,36.6977775,-108.7011986
5V8,Kadoka,SD,43.83332611,-101.4970881
5W8,Siler City,NC,35.7029175,-79.50529972
5Z1,Juneau,AK,58.29888889,-134.4077778
5Z5,Kantishna,AK,63.54171472,-150.9939547
60F,Seymour,TX,33.64870417,-99.26063056
60J,Ocean Isle Beach,NC,33.90850556,-78.43667222
61A,Camden,AL,31.97987056,-87.33888056
61B,Boulder City,NV,35.94748028,-114.8610967
61C,Fort Atkinson,WI,42.96320278,-88.81762806
61J,Portland,OR,45.52527778,-122.6709289
61S,Cottage Grove,OR,43.79984528,-123.0289678
62D,Warren,OH,41.26672278,-80.92897778
62H,Giddings,TX,30.16927167,-96.98001083
62S,Christmas Valley,OR,43.23653139,-120.6660967
63A,Petersburg,AK,56.81131972,-132.9600567
63C,Adams/Friendship,WI,43.96117222,-89.78804889
63S,Colville,WA,48.54156944,-117.8844247
65J,Wrens,GA,33.222645,-82.38373611
65S,Bonners Ferry,ID,48.72632639,-116.2954761
66D,Sturgis,SD,44.41761111,-103.3747778
67L,Mesquite,NV,36.83497556,-114.0552453
68A,Wrangell,AK,56.466325,-132.3800181
